Cellulose, Hemicellulose, Lignin, Solids Loading [g/L], Enzyme Loading [g/L], Time [h], Glucose Concentration [g/L], Xylose Concentration [g/L], Cellobiose Concentration [g/L]
    0.615,         0.105,  0.279,               87.555,                0.533,       72,                      40.466,                      8.941,                          0.170
    0.615,         0.105,  0.279,               87.555,                0.533,       96,                      43.251,                      9.200,                          0.119
    0.644,         0.148,  0.208,              222.750,                1.194,        0,                       0.000,                      0.000,                          0.000
    0.644,         0.148,  0.208,              222.750,                1.194,        1,                      12.344,                     16.125,                          1.522
    0.644,         0.148,  0.208,              222.750,                1.194,        2,                      16.177,                     20.933,                          2.135
    0.644,         0.148,  0.208,              222.750,                1.194,        4,                      21.945,                     25.270,                          2.922
    0.644,         0.148,  0.208,              222.750,                1.194,        6,                      26.684,                     27.415,                          3.436
    0.644,         0.148,  0.208,              222.750,                1.194,        8,                      30.862,                     28.741,                          3.798
    0.644,         0.148,  0.208,              222.750,                1.194,       12,                      38.141,                     30.341,                          4.243
    0.644,         0.148,  0.208,              222.750,                1.194,       24,                      54.967,                     32.446,                          4.530
    0.644,         0.148,  0.208,              222.750,                1.194,       48,                      77.073,                     33.942,                          3.765
    0.644,         0.148,  0.208,              222.750,                1.194,       72,                      91.341,                     34.615,                          2.846
    0.644,         0.148,  0.208,              222.750,                1.194,       96,                     101.354,                     35.024,                          2.120
    0.641,         0.065,  0.294,               55.737,                0.677,        0,                       0.000,                      0.000,                          0.000
    0.641,         0.065,  0.294,               55.737,                0.677,        1,                      11.399,                      0.473,                          0.123
    0.641,         0.065,  0.294,               55.737,                0.677,        2,                      14.767,                      0.722,                          0.110
    0.641,         0.065,  0.294,               55.737,                0.677,        4,                      18.446,                      1.067,                          0.082
    0.641,         0.065,  0.294,               55.737,                0.677,        6,                      20.671,                      1.318,                          0.065
    0.641,         0.065,  0.294,               55.737,                0.677,        8,                      22.256,                      1.516,                          0.054
    0.641,         0.065,  0.294,               55.737,                0.677,       12,                      24.466,                      1.820,                          0.041
    0.641,         0.065,  0.294,               55.737,                0.677,       24,                      28.083,                      2.372,                          0.023
    0.641,         0.065,  0.294,               55.737,                0.677,       48,                      31.335,                      2.902,                          0.012
    0.641,         0.065,  0.294,               55.737,                0.677,       72,                      33.000,                      3.174,                          0.008
    0.641,         0.065,  0.294,               55.737,                0.677,       96,                      34.057,                      3.343,                          0.005
    0.574,         0.141,  0.285,               72.864,                0.733,        0,                       0.000,                      0.000,                          0.000
    0.574,         0.141,  0.285,               72.864,                0.733,        1,                       5.227,                      3.910,                          0.312
    0.574,         0.141,  0.285,               72.864,                0.733,        2,                       6.778,                      5.477,                          0.396
    0.574,         0.141,  0.285,               72.864,                0.733,        4,                       8.962,                      7.052,                          0.457
    0.574,         0.141,  0.285,               72.864,                0.733,        6,                      10.666,                      7.884,                          0.465
    0.574,         0.141,  0.285,               72.864,                0.733,        8,                      12.116,                      8.412,                          0.453
    0.574,         0.141,  0.285,               72.864,                0.733,       12,                      14.539,                      9.062,                          0.409
    0.574,         0.141,  0.285,               72.864,                0.733,       24,                      19.723,                      9.926,                          0.281
    0.574,         0.141,  0.285,               72.864,                0.733,       48,                      25.849,                     10.530,                          0.151
    0.574,         0.141,  0.285,               72.864,                0.733,       72,                      29.523,                     10.793,                          0.096
    0.574,         0.141,  0.285,               72.864,                0.733,       96,                      32.023,                     10.948,                          0.067
    0.639,         0.071,  0.290,              159.273,                0.636,        0,                       0.000,                      0.000,                          0.000
    0.639,         0.071,  0.290,              159.273,                0.636,        1,                      24.546,                      1.487,                          0.587
    0.639,         0.071,  0.290,              159.273,                0.636,        2,                      31.824,                      2.205,                          0.755
    0.639,         0.071,  0.290,              159.273,                0.636,        4,                      40.358,                      3.185,                          0.912
    0.639,         0.071,  0.290,              159.273,                0.636,        6,                      45.902,                      3.889,                          0.980
    0.639,         0.071,  0.290,              159.273,                0.636,        8,                      50.057,                      4.444,                          1.009
    0.639,         0.071,  0.290,              159.273,                0.636,       12,                      56.183,                      5.295,                          1.010
    0.639,         0.071,  0.290,              159.273,                0.636,       24,                      67.159,                      6.865,                          0.881
    0.639,         0.071,  0.290,              159.273,                0.636,       48,                      78.199,                      8.432,                          0.601
    0.639,         0.071,  0.290,              159.273,                0.636,       72,                      84.325,                      9.274,                          0.415
    0.639,         0.071,  0.290,              159.273,                0.636,       96,                      88.386,                      9.818,                          0.299
    0.569,         0.140,  0.291,              211.962,                1.175,        0,                       0.000,                      0.000,                          0.000
    0.569,         0.140,  0.291,              211.962,                1.175,        1,                       9.818,                     15.017,                          1.251
    0.569,         0.140,  0.291,              211.962,                1.175,        2,                      12.856,                     19.442,                          1.755
    0.569,         0.140,  0.291,              211.962,                1.175,        4,                      17.481,                     23.355,                          2.399
    0.569,         0.140,  0.291,              211.962,                1.175,        6,                      21.323,                     25.254,                          2.815
    0.569,         0.140,  0.291,              211.962,                1.175,        8,                      24.737,                     26.413,                          3.104
    0.569,         0.140,  0.291,              211.962,                1.175,       12,                      30.738,                     27.797,                          3.446
    0.569,         0.140,  0.291,              211.962,                1.175,       24,                      44.798,                     29.585,                          3.601
    0.569,         0.140,  0.291,              211.962,                1.175,       48,                      63.503,                     30.834,                          2.869
    0.569,         0.140,  0.291,              211.962,                1.175,       72,                      75.628,                     31.390,                          2.098
    0.569,         0.140,  0.291,              211.962,                1.175,       96,                      84.141,                     31.726,                          1.528
    0.648,         0.070,  0.282,              143.821,                0.787,        0,                       0.000,                      0.000,                          0.000
    0.648,         0.070,  0.282,              143.821,                0.787,        1,                      25.357,                      1.480,                          0.551
    0.648,         0.070,  0.282,              143.821,                0.787,        2,                      32.641,                      2.184,                          0.673
    0.648,         0.070,  0.282,              143.821,                0.787,        4,                      41.044,                      3.133,                          0.753
    0.648,         0.070,  0.282,              143.821,                0.787,        6,                      46.417,                      3.806,                          0.762
    0.648,         0.070,  0.282,              143.821,                0.787,        8,                      50.397,                      4.332,                          0.745
    0.648,         0.070,  0.282,              143.821,                0.787,       12,                      56.183,                      5.128,                          0.685
    0.648,         0.070,  0.282,              143.821,                0.787,       24,                      66.266,                      6.565,                          0.496
    0.648,         0.070,  0.282,              143.821,                0.787,       48,                      75.969,                      7.953,                          0.275
    0.648,         0.070,  0.282,              143.821,                0.787,       72,                      81.147,                      8.677,                          0.174
    0.648,         0.070,  0.282,              143.821,                0.787,       96,                      84.502,                      9.136,                          0.121
    0.612,         0.150,  0.238,              185.327,                0.337,        0,                       0.000,                      0.000,                          0.000
    0.612,         0.150,  0.238,              185.327,                0.337,        1,                       6.603,                      7.876,                          0.686
    0.612,         0.150,  0.238,              185.327,                0.337,        2,                       8.326,                     11.583,                          0.996
    0.612,         0.150,  0.238,              185.327,                0.337,        4,                      10.693,                     15.749,                          1.427
    0.612,         0.150,  0.238,              185.327,                0.337,        6,                      12.543,                     18.159,                          1.750
    0.612,         0.150,  0.238,              185.327,                0.337,        8,                      14.150,                     19.773,                          2.015
    0.612,         0.150,  0.238,              185.327,                0.337,       12,                      16.960,                     21.845,                          2.440
    0.612,         0.150,  0.238,              185.327,                0.337,       24,                      23.799,                     24.733,                          3.271
    0.612,         0.150,  0.238,              185.327,                0.337,       48,                      34.227,                     26.819,                          4.042
    0.612,         0.150,  0.238,              185.327,                0.337,       72,                      42.363,                     27.733,                          4.290
    0.612,         0.150,  0.238,              185.327,                0.337,       96,                      49.058,                     28.273,                          4.293
    0.604,         0.111,  0.285,              192.848,                0.198,        0,                       0.000,                      0.000,                          0.000
    0.604,         0.111,  0.285,              192.848,                0.198,        1,                       8.885,                      2.831,                          0.493
    0.604,         0.111,  0.285,              192.848,                0.198,        2,                      11.429,                      4.427,                          0.728
    0.604,         0.111,  0.285,              192.848,                0.198,        4,                      14.652,                      6.606,                          1.051
    0.604,         0.111,  0.285,              192.848,                0.198,        6,                      16.967,                      8.131,                          1.290
    0.604,         0.111,  0.285,              192.848,                0.198,        8,                      18.858,                      9.300,                          1.483
    0.604,         0.111,  0.285,              192.848,                0.198,       12,                      21.960,                     11.021,                          1.791
    0.604,         0.111,  0.285,              192.848,                0.198,       24,                      28.800,                     13.970,                          2.393
    0.604,         0.111,  0.285,              192.848,                0.198,       48,                      38.263,                     16.641,                          3.009
    0.604,         0.111,  0.285,              192.848,                0.198,       72,                      45.299,                     17.986,                          3.288
    0.604,         0.111,  0.285,              192.848,                0.198,       96,                      51.007,                     18.833,                          3.404
    0.621,         0.113,  0.266,               83.693,                0.454,        0,                       0.000,                      0.000,                          0.000
    0.621,         0.113,  0.266,               83.693,                0.454,        1,                       8.061,                      2.212,                          0.351
    0.621,         0.113,  0.266,               83.693,                0.454,        2,                      10.398,                      3.287,                          0.469
    0.621,         0.113,  0.266,               83.693,                0.454,        4,                      13.392,                      4.580,                          0.584
    0.621,         0.113,  0.266,               83.693,                0.454,        6,                      15.553,                      5.382,                          0.636
    0.621,         0.113,  0.266,               83.693,                0.454,        8,                      17.310,                      5.948,                          0.657
    0.621,         0.113,  0.266,               83.693,                0.454,       12,                      20.142,                      6.713,                          0.656
    0.621,         0.113,  0.266,               83.693,                0.454,       24,                      25.990,                      7.871,                          0.551
    0.621,         0.113,  0.266,               83.693,                0.454,       48,                      32.840,                      8.788,                          0.349
    0.621,         0.113,  0.266,               83.693,                0.454,       72,                      36.990,                      9.213,                          0.232
    0.621,         0.113,  0.266,               83.693,                0.454,       96,                      39.848,                      9.469,                          0.165
    0.619,         0.135,  0.246,              105.425,                0.429,        0,                       0.000,                      0.000,                          0.000
    0.619,         0.135,  0.246,              105.425,                0.429,        1,                       6.956,                      4.063,                          0.483
    0.619,         0.135,  0.246,              105.425,                0.429,        2,                       8.903,                      5.932,                          0.682
    0.619,         0.135,  0.246,              105.425,                0.429,        4,                      11.530,                      8.032,                          0.926
    0.619,         0.135,  0.246,              105.425,                0.429,        6,                      13.533,                      9.251,                          1.079
    0.619,         0.135,  0.246,              105.425,                0.429,        8,                      15.234,                     10.071,                          1.183
    0.619,         0.135,  0.246,              105.425,                0.429,       12,                      18.115,                     11.133,                          1.307
    0.619,         0.135,  0.246,              105.425,                0.429,       24,                      24.635,                     12.633,                          1.372
    0.619,         0.135,  0.246,              105.425,                0.429,       48,                      33.299,                     13.743,                          1.134
    0.619,         0.135,  0.246,              105.425,                0.429,       72,                      39.092,                     14.240,                          0.866
    0.619,         0.135,  0.246,              105.425,                0.429,       96,                      43.303,                     14.537,                          0.659
    0.649,         0.087,  0.264,              235.091,                0.093,        0,                       0.000,                      0.000,                          0.000
    0.649,         0.087,  0.264,              235.091,                0.093,        1,                      11.600,                      0.998,                          0.354
    0.649,         0.087,  0.264,              235.091,                0.093,        2,                      15.647,                      1.571,                          0.521
    0.649,         0.087,  0.264,              235.091,                0.093,        4,                      20.763,                      2.422,                          0.753
    0.649,         0.087,  0.264,              235.091,                0.093,        6,                      24.343,                      3.085,                          0.925
    0.649,         0.087,  0.264,              235.091,                0.093,        8,                      27.182,                      3.642,                          1.066
    0.649,         0.087,  0.264,              235.091,                0.093,       12,                      31.653,                      4.560,                          1.292
    0.649,         0.087,  0.264,              235.091,                0.093,       24,                      40.741,                      6.508,                          1.754
    0.649,         0.087,  0.264,              235.091,                0.093,       48,                      51.955,                      8.896,                          2.293
    0.649,         0.087,  0.264,              235.091,                0.093,       72,                      59.629,                     10.439,                          2.617
    0.649,         0.087,  0.264,              235.091,                0.093,       96,                      65.601,                     11.569,                          2.834
    0.574,         0.144,  0.282,              101.257,                0.960,        0,                       0.000,                      0.000,                          0.000
    0.574,         0.144,  0.282,              101.257,                0.960,        1,                       6.476,                      6.559,                          0.513
    0.574,         0.144,  0.282,              101.257,                0.960,        2,                       8.451,                      8.813,                          0.667
    0.574,         0.144,  0.282,              101.257,                0.960,        4,                      11.355,                     10.913,                          0.797
    0.574,         0.144,  0.282,              101.257,                0.960,        6,                      13.695,                     11.964,                          0.833
    0.574,         0.144,  0.282,              101.257,                0.960,        8,                      15.723,                     12.615,                          0.828
    0.574,         0.144,  0.282,              101.257,                0.960,       12,                      19.169,                     13.399,                          0.767
    0.574,         0.144,  0.282,              101.257,                0.960,       24,                      26.667,                     14.420,                          0.541
    0.574,         0.144,  0.282,              101.257,                0.960,       48,                      35.572,                     15.131,                          0.288
    0.574,         0.144,  0.282,              101.257,                0.960,       72,                      40.874,                     15.443,                          0.179
    0.574,         0.144,  0.282,              101.257,                0.960,       96,                      44.455,                     15.629,                          0.123
    0.613,         0.088,  0.299,               92.340,                0.181,        0,                       0.000,                      0.000,                          0.000
    0.613,         0.088,  0.299,               92.340,                0.181,        1,                       7.966,                      0.808,                          0.236
    0.613,         0.088,  0.299,               92.340,                0.181,        2,                      10.580,                      1.272,                          0.333
    0.613,         0.088,  0.299,               92.340,                0.181,        4,                      13.765,                      1.932,                          0.448
    0.613,         0.088,  0.299,               92.340,                0.181,        6,                      15.933,                      2.419,                          0.519
    0.613,         0.088,  0.299,               92.340,                0.181,        8,                      17.624,                      2.807,                          0.568
    0.613,         0.088,  0.299,               92.340,                0.181,       12,                      20.245,                      3.409,                          0.629
    0.613,         0.088,  0.299,               92.340,                0.181,       24,                      25.423,                      4.537,                          0.687
    0.613,         0.088,  0.299,               92.340,                0.181,       48,                      31.501,                      5.680,                          0.638
    0.613,         0.088,  0.299,               92.340,                0.181,       72,                      35.397,                      6.304,                          0.549
    0.613,         0.088,  0.299,               92.340,                0.181,       96,                      38.245,                      6.713,                          0.465
    0.622,         0.149,  0.229,              187.166,                0.815,        0,                       0.000,                      0.000,                          0.000
    0.622,         0.149,  0.229,              187.166,                0.815,        1,                       9.220,                     12.257,                          1.085
    0.622,         0.149,  0.229,              187.166,                0.815,        2,                      11.919,                     16.431,                          1.538
    0.622,         0.149,  0.229,              187.166,                0.815,        4,                      15.905,                     20.374,                          2.135
    0.622,         0.149,  0.229,              187.166,                0.815,        6,                      19.161,                     22.377,                          2.545
    0.622,         0.149,  0.229,              187.166,                0.815,        8,                      22.036,                     23.627,                          2.850
    0.622,         0.149,  0.229,              187.166,                0.815,       12,                      27.082,                     25.146,                          3.264
    0.622,         0.149,  0.229,              187.166,                0.815,       24,                      39.037,                     27.139,                          3.723
    0.622,         0.149,  0.229,              187.166,                0.815,       48,                      55.572,                     28.536,                          3.445
    0.622,         0.149,  0.229,              187.166,                0.815,       72,                      66.868,                     29.154,                          2.838
    0.622,         0.149,  0.229,              187.166,                0.815,       96,                      75.141,                     29.525,                          2.267
    0.611,         0.116,  0.273,              247.770,                1.195,        0,                       0.000,                      0.000,                          0.000
    0.611,         0.116,  0.273,              247.770,                1.195,        1,                      17.809,                     10.615,                          1.510
    0.611,         0.116,  0.273,              247.770,                1.195,        2,                      23.112,                     14.434,                          2.100
    0.611,         0.116,  0.273,              247.770,                1.195,        4,                      30.546,                     18.350,                          2.821
    0.611,         0.116,  0.273,              247.770,                1.195,        6,                      36.298,                     20.498,                          3.272
    0.611,         0.116,  0.273,              247.770,                1.195,        8,                      41.178,                     21.909,                          3.579
    0.611,         0.116,  0.273,              247.770,                1.195,       12,                      49.362,                     23.705,                          3.940
    0.611,         0.116,  0.273,              247.770,                1.195,       24,                      67.239,                     26.236,                          4.124
    0.611,         0.116,  0.273,              247.770,                1.195,       48,                      89.415,                     28.144,                          3.404
    0.611,         0.116,  0.273,              247.770,                1.195,       72,                     103.278,                     29.024,                          2.585
    0.611,         0.116,  0.273,              247.770,                1.195,       96,                     112.885,                     29.559,                          1.939
    0.636,         0.107,  0.256,              165.319,                1.003,        0,                       0.000,                      0.000,                          0.000
    0.636,         0.107,  0.256,              165.319,                1.003,        1,                      17.204,                      5.382,                          0.931
    0.636,         0.107,  0.256,              165.319,                1.003,        2,                      22.219,                      7.547,                          1.237
    0.636,         0.107,  0.256,              165.319,                1.003,        4,                      28.854,                      9.948,                          1.546
    0.636,         0.107,  0.256,              165.319,                1.003,        6,                      33.723,                     11.356,                          1.689
    0.636,         0.107,  0.256,              165.319,                1.003,        8,                      37.703,                     12.319,                          1.752
    0.636,         0.107,  0.256,              165.319,                1.003,       12,                      44.112,                     13.591,                          1.758
    0.636,         0.107,  0.256,              165.319,                1.003,       24,                      57.150,                     15.470,                          1.481
    0.636,         0.107,  0.256,              165.319,                1.003,       48,                      71.817,                     16.946,                          0.911
    0.636,         0.107,  0.256,              165.319,                1.003,       72,                      80.280,                     17.634,                          0.579
    0.636,         0.107,  0.256,              165.319,                1.003,       96,                      85.895,                     18.052,                          0.393
    0.589,         0.129,  0.282,              112.492,                0.939,        0,                       0.000,                      0.000,                          0.000
    0.589,         0.129,  0.282,              112.492,                0.939,        1,                       8.603,                      5.742,                          0.588
    0.589,         0.129,  0.282,              112.492,                0.939,        2,                      11.168,                      7.863,                          0.766
    0.589,         0.129,  0.282,              112.492,                0.939,        4,                      14.799,                      9.966,                          0.921
    0.589,         0.129,  0.282,              112.492,                0.939,        6,                      17.633,                     11.077,                          0.969
    0.589,         0.129,  0.282,              112.492,                0.939,        8,                      20.041,                     11.787,                          0.969
    0.589,         0.129,  0.282,              112.492,                0.939,       12,                      24.060,                     12.667,                          0.910
    0.589,         0.129,  0.282,              112.492,                0.939,       24,                      32.593,                     13.858,                          0.658
    0.589,         0.129,  0.282,              112.492,                0.939,       48,                      42.484,                     14.718,                          0.352
    0.589,         0.129,  0.282,              112.492,                0.939,       72,                      48.276,                     15.101,                          0.217
    0.589,         0.129,  0.282,              112.492,                0.939,       96,                      52.153,                     15.330,                          0.148
    0.604,         0.125,  0.270,              176.177,                0.228,        0,                       0.000,                      0.000,                          0.000
    0.604,         0.125,  0.270,              176.177,                0.228,        1,                       7.468,                      3.865,                          0.517
    0.604,         0.125,  0.270,              176.177,                0.228,        2,                       9.501,                      5.980,                          0.762
    0.604,         0.125,  0.270,              176.177,                0.228,        4,                      12.124,                      8.715,                          1.099
    0.604,         0.125,  0.270,              176.177,                0.228,        6,                      14.055,                     10.520,                          1.348
    0.604,         0.125,  0.270,              176.177,                0.228,        8,                      15.665,                     11.841,                          1.550
    0.604,         0.125,  0.270,              176.177,                0.228,       12,                      18.366,                     13.691,                          1.870
    0.604,         0.125,  0.270,              176.177,                0.228,       24,                      24.561,                     16.614,                          2.496
    0.604,         0.125,  0.270,              176.177,                0.228,       48,                      33.514,                     19.015,                          3.106
    0.604,         0.125,  0.270,              176.177,                0.228,       72,                      40.345,                     20.148,                          3.347
    0.604,         0.125,  0.270,              176.177,                0.228,       96,                      45.944,                     20.837,                          3.411
    0.601,         0.122,  0.277,               61.057,                0.145,        0,                       0.000,                      0.000,                          0.000
    0.601,         0.122,  0.277,               61.057,                0.145,        1,                       3.880,                      0.980,                          0.156
    0.601,         0.122,  0.277,               61.057,                0.145,        2,                       5.086,                      1.586,                          0.228
    0.601,         0.122,  0.277,               61.057,                0.145,        4,                       6.571,                      2.427,                          0.318
    0.601,         0.122,  0.277,               61.057,                0.145,        6,                       7.614,                      3.018,                          0.375
    0.601,         0.122,  0.277,               61.057,                0.145,        8,                       8.455,                      3.468,                          0.416
    0.601,         0.122,  0.277,               61.057,                0.145,       12,                       9.815,                      4.124,                          0.469
    0.601,         0.122,  0.277,               61.057,                0.145,       24,                      12.736,                      5.220,                          0.523
    0.601,         0.122,  0.277,               61.057,                0.145,       48,                      16.581,                      6.168,                          0.487
    0.601,         0.122,  0.277,               61.057,                0.145,       72,                      19.264,                      6.627,                          0.415
    0.601,         0.122,  0.277,               61.057,                0.145,       96,                      21.318,                      6.907,                          0.347
    0.635,         0.138,  0.228,               81.739,                0.212,        0,                       0.000,                      0.000,                          0.000
    0.635,         0.138,  0.228,               81.739,                0.212,        1,                       4.999,                      2.143,                          0.280
    0.635,         0.138,  0.228,               81.739,                0.212,        2,                       6.414,                      3.333,                          0.408
    0.635,         0.138,  0.228,               81.739,                0.212,        4,                       8.224,                      4.849,                          0.572
    0.635,         0.138,  0.228,               81.739,                0.212,        6,                       9.549,                      5.829,                          0.682
    0.635,         0.138,  0.228,               81.739,                0.212,        8,                      10.649,                      6.534,                          0.764
    0.635,         0.138,  0.228,               81.739,                0.212,       12,                      12.483,                      7.502,                          0.876
    0.635,         0.138,  0.228,               81.739,                0.212,       24,                      16.612,                      8.983,                          1.017
    0.635,         0.138,  0.228,               81.739,                0.212,       48,                      22.310,                     10.151,                          0.995
    0.635,         0.138,  0.228,               81.739,                0.212,       72,                      26.385,                     10.686,                          0.871
    0.635,         0.138,  0.228,               81.739,                0.212,       96,                      29.527,                     11.008,                          0.739
    0.555,         0.147,  0.299,              228.434,                0.798,        0,                       0.000,                      0.000,                          0.000
    0.555,         0.147,  0.299,              228.434,                0.798,        1,                       7.644,                     15.580,                          1.077
    0.555,         0.147,  0.299,              228.434,                0.798,        2,                       9.850,                     20.731,                          1.539
    0.555,         0.147,  0.299,              228.434,                0.798,        4,                      13.176,                     25.453,                          2.184
    0.555,         0.147,  0.299,              228.434,                0.798,        6,                      15.949,                     27.790,                          2.660
    0.555,         0.147,  0.299,              228.434,                0.798,        8,                      18.437,                     29.225,                          3.038
    0.555,         0.147,  0.299,              228.434,                0.798,       12,                      22.889,                     30.939,                          3.610
    0.555,         0.147,  0.299,              228.434,                0.798,       24,                      33.850,                     33.137,                          4.524
    0.555,         0.147,  0.299,              228.434,                0.798,       48,                      50.012,                     34.636,                          4.868
    0.555,         0.147,  0.299,              228.434,                0.798,       72,                      61.814,                     35.286,                          4.540
    0.555,         0.147,  0.299,              228.434,                0.798,       96,                      70.919,                     35.674,                          4.028
    0.613,         0.103,  0.283,               96.874,                0.634,        0,                       0.000,                      0.000,                          0.000
    0.613,         0.103,  0.283,               96.874,                0.634,        1,                      10.721,                      2.448,                          0.419
    0.613,         0.103,  0.283,               96.874,                0.634,        2,                      13.826,                      3.575,                          0.536
    0.613,         0.103,  0.283,               96.874,                0.634,        4,                      17.777,                      4.914,                          0.632
    0.613,         0.103,  0.283,               96.874,                0.634,        6,                      20.587,                      5.741,                          0.659
    0.613,         0.103,  0.283,               96.874,                0.634,        8,                      22.839,                      6.324,                          0.657
    0.613,         0.103,  0.283,               96.874,                0.634,       12,                      26.398,                      7.115,                          0.620
    0.613,         0.103,  0.283,               96.874,                0.634,       24,                      33.452,                      8.319,                          0.463
    0.613,         0.103,  0.283,               96.874,                0.634,       48,                      41.225,                      9.284,                          0.261
    0.613,         0.103,  0.283,               96.874,                0.634,       72,                      45.709,                      9.734,                          0.166
    0.613,         0.103,  0.283,               96.874,                0.634,       96,                      48.710,                     10.006,                          0.116
    0.649,         0.141,  0.210,              194.684,                0.573,        0,                       0.000,                      0.000,                          0.000
    0.649,         0.141,  0.210,              194.684,                0.573,        1,                      10.186,                      9.156,                          0.998
    0.649,         0.141,  0.210,              194.684,                0.573,        2,                      13.028,                     12.914,                          1.429
    0.649,         0.141,  0.210,              194.684,                0.573,        4,                      17.014,                     16.904,                          2.007
    0.649,         0.141,  0.210,              194.684,                0.573,        6,                      20.149,                     19.127,                          2.420
    0.649,         0.141,  0.210,              194.684,                0.573,        8,                      22.864,                     20.589,                          2.742
    0.649,         0.141,  0.210,              194.684,                0.573,       12,                      27.557,                     22.447,                          3.220
    0.649,         0.141,  0.210,              194.684,                0.573,       24,                      38.573,                     25.023,                          3.970
    0.649,         0.141,  0.210,              194.684,                0.573,       48,                      54.097,                     26.907,                          4.259
    0.649,         0.141,  0.210,              194.684,                0.573,       72,                      65.169,                     27.752,                          4.006
    0.649,         0.141,  0.210,              194.684,                0.573,       96,                      73.641,                     28.260,                          3.598
